Dosya,Şirket Adı,Web Sitesi,Eksik Link Sayısı,Eksik Linkler
reserbayi.json,Reserbayi,https://reserbayi.com,6,"linkedin, x, instagram, facebook, youtube, github"
rovenma.json,Rovenma,https://rovenma.com,6,"linkedin, x, instagram, facebook, youtube, github"
sap.json,Sap,https://sap.com/turkey/index.html,6,"linkedin, x, instagram, facebook, youtube, github"
securefuture.json,Securefuture,https://securefuture.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
sistem9.json,Sistem9,https://sistem9.com,6,"linkedin, x, instagram, facebook, youtube, github"
sys.json,Sys,https://sys.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
takipsan.json,Takipsan,https://takipsan.com,6,"linkedin, x, instagram, facebook, youtube, github"
tavtechechnologies.json,Tavtechechnologies,https://tavtechechnologies.aero,6,"linkedin, x, instagram, facebook, youtube, github"
techasay.json,Tech Asay,https://techasay.com,6,"linkedin, x, instagram, facebook, youtube, github"
teknonet.json,Teknonet,https://teknonet.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
teknosa.json,Teknosa,https://teknosa.com,6,"linkedin, x, instagram, facebook, youtube, github"
tektronik.json,Tektronik,https://tektronik.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
telenity.json,Telenity,https://telenity.com,6,"linkedin, x, instagram, facebook, youtube, github"
teleone.json,Teleone,https://teleone.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
teleperformance.json,Teleperformance,https://teleperformance.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
tepepos.json,Tepepos,https://tepepos.com,6,"linkedin, x, instagram, facebook, youtube, github"
tesan.json,Tesan,https://tesan.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
teslateknoloji.json,Teslateknoloji,https://teslateknoloji.com,6,"linkedin, x, instagram, facebook, youtube, github"
trium.json,Trium,https://trium.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
ttgint.json,Ttgint,https://ttgint.com,6,"linkedin, x, instagram, facebook, youtube, github"
turk.json,Turk,https://turk.net,6,"linkedin, x, instagram, facebook, youtube, github"
turktrust.json,Turktrust,https://turktrust.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
veganetworks.json,Veganetworks,https://veganetworks.net,6,"linkedin, x, instagram, facebook, youtube, github"
veriport.json,Veriport,https://veriport.com,6,"linkedin, x, instagram, facebook, youtube, github"
vesmark.json,Vesmark,https://vesmark.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
victorybilisim.json,Victorybilisim,https://victorybilisim.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
warpiris.json,Warpiris,https://warpiris.com,6,"linkedin, x, instagram, facebook, youtube, github"
ykteknoloji.json,Ykteknoloji,https://ykteknoloji.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
ziraatteknoloji.json,Ziraatteknoloji,https://ziraatteknoloji.com,6,"linkedin, x, instagram, facebook, youtube, github"
arneca.json,Arneca,https://arneca.com,5,"x, instagram, facebook, youtube, github"
beamteknoloji.json,Beam Teknoloji,https://beamteknoloji.com,5,"x, instagram, facebook, youtube, github"
elips.json,Elips,https://elips.com,5,"x, instagram, facebook, youtube, github"
elsabilisim.json,Elsabilisim,https://elsabilisim.com,5,"x, instagram, facebook, youtube, github"
eprint.json,Eprint,https://eprint.com.tr,5,"x, instagram, facebook, youtube, github"
etg-itglobal.json,Etg İt Global,https://etg-it.global,5,"x, instagram, facebook, youtube, github"
focabex.json,Focabex,https://focabex.com,5,"linkedin, instagram, facebook, youtube, github"
ftnet.json,Ftnet,https://ftnet.com,5,"x, instagram, facebook, youtube, github"
gentel.json,Gentel,https://gentel.com.tr,5,"x, instagram, facebook, youtube, github"
globalict.json,Globalict,https://globalict.com.tr,5,"linkedin, instagram, facebook, youtube, github"
istpaz.json,İstpaz,https://istpaz.com.tr,5,"x, instagram, facebook, youtube, github"
lenovomarket.json,Lenovomarket,https://lenovomarket.com,5,"x, instagram, facebook, youtube, github"
lydiasystems.json,Lydiasystems,https://lydiasystems.com,5,"x, instagram, facebook, youtube, github"
maccom.json,Maccom,https://maccom.com.tr,5,"linkedin, x, instagram, youtube, github"
metasoft.json,Metasoft,https://metasoft.com.tr,5,"x, instagram, facebook, youtube, github"
netaxtech.json,Netaxtech,https://netaxtech.com,5,"x, instagram, facebook, youtube, github"
networkkurumsal.json,Networkkurumsal,https://networkkurumsal.com/tr/,5,"linkedin, instagram, facebook, youtube, github"
pikselmutfak.json,Pikselmutfak,https://pikselmutfak.com,5,"x, instagram, facebook, youtube, github"
platowebtr.json,Plato Web Tr,https://plato.web.tr,5,"linkedin, x, instagram, youtube, github"
rdc.json,Rdc,https://rdc.com.tr,5,"x, instagram, facebook, youtube, github"
testinium.json,Testinium,https://testinium.com,5,"x, instagram, facebook, youtube, github"
trtekyazilim.json,Trtekyazilim,https://trtekyazilim.com,5,"x, instagram, facebook, youtube, github"
trustnet.json,Trustnet,https://trustnet.com.tr,5,"x, instagram, facebook, youtube, github"
vbm.json,Vbm,https://vbm.com.tr,5,"x, instagram, facebook, youtube, github"
ado-bilisim.json,Ado Bilişim Lab. Müh. Test Cih. Ltd. Şti.,https://www.adobilisim.com,4,"linkedin, instagram, youtube, github"
analythinx.json,Analythinx,https://analythinx.com,4,"instagram, facebook, youtube, github"
atlasyazilim.json,Atlas Yazılım,https://atlasyazilim.com.tr,4,"linkedin, x, youtube, github"
ayrotek.json,Ayrotek,https://ayrotek.com.tr,4,"x, instagram, youtube, github"
baylanbilisim.json,Baylan Bilişim,https://baylanbilisim.com,4,"linkedin, instagram, youtube, github"
btsgrp.json,Btsgrp,https://btsgrp.com,4,"x, instagram, facebook, github"
buluttahsilat.json,Buluttahsilat,https://buluttahsilat.com,4,"linkedin, instagram, facebook, github"
creentech.json,Creentech,https://creentech.com.tr,4,"x, facebook, youtube, github"
ddtech.json,Ddtech,https://ddtech.com.tr,4,"instagram, facebook, youtube, github"
demsistem.json,Demsistem,https://demsistem.com,4,"instagram, facebook, youtube, github"
deponet.json,Deponet,https://deponet.com.tr,4,"x, facebook, youtube, github"
